pressure_bar,concentration_percent,ArCF4_reference_concentration_percent,ArCF4_reference_pressure_bar,ArCF4_visible_range_nm,ArN2_uv_range_nm,ArCF4_95_5_1bar_visible_integral_ph_MeV,ArN2_uv_integral_ph_MeV,ratio_ArN2_UV_over_ArCF4_95_5_1bar_VIS
1.0,0.1,5.0,1.0,500-750,325-420,6271.678641972015,3562.476320672777,0.5680259662591101
1.0,0.5,5.0,1.0,500-750,325-420,6271.678641972015,7366.332518818551,1.174539216585616
1.0,1.0,5.0,1.0,500-750,325-420,6271.678641972015,7836.752900108611,1.2495463092867412
1.0,5.0,5.0,1.0,500-750,325-420,6271.678641972015,7694.993439881966,1.2269431964170945
1.0,10.0,5.0,1.0,500-750,325-420,6271.678641972015,7186.365072100478,1.1458439569921677
1.0,20.0,5.0,1.0,500-750,325-420,6271.678641972015,4572.725616695565,0.7291071302814321
1.0,50.0,5.0,1.0,500-750,325-420,6271.678641972015,2045.6387942478414,0.3261708564845452
1.0,100.0,5.0,1.0,500-750,325-420,6271.678641972015,346.52504676519254,0.05525236010119199
2.0,0.1,5.0,1.0,500-750,325-420,6271.678641972015,1522.611470330695,0.24277574749141448
2.0,0.5,5.0,1.0,500-750,325-420,6271.678641972015,2801.0233335699477,0.44661461364181393
2.0,1.0,5.0,1.0,500-750,325-420,6271.678641972015,3331.0658257526675,0.5311282697841283
2.0,5.0,5.0,1.0,500-750,325-420,6271.678641972015,4228.215196923753,0.6741759962998148
2.0,10.0,5.0,1.0,500-750,325-420,6271.678641972015,3851.989888679067,0.6141880202375738
2.0,20.0,5.0,1.0,500-750,325-420,6271.678641972015,2663.2547564674974,0.42464783489450053
2.0,50.0,5.0,1.0,500-750,325-420,6271.678641972015,1062.8003264534805,0.16946026528542005
2.0,100.0,5.0,1.0,500-750,325-420,6271.678641972015,147.19931096904048,0.023470480452224884
3.0,0.1,5.0,1.0,500-750,325-420,6271.678641972015,610.8594149629605,0.0973996675905714
3.0,0.5,5.0,1.0,500-750,325-420,6271.678641972015,1458.230650071922,0.23251042237926398
3.0,1.0,5.0,1.0,500-750,325-420,6271.678641972015,1822.988093907125,0.29066988249479564
3.0,5.0,5.0,1.0,500-750,325-420,6271.678641972015,2911.1487862776266,0.4641737806518526
3.0,10.0,5.0,1.0,500-750,325-420,6271.678641972015,2627.261717707316,0.4189088548199628
3.0,20.0,5.0,1.0,500-750,325-420,6271.678641972015,1770.3960301443276,0.28228423859224694
3.0,50.0,5.0,1.0,500-750,325-420,6271.678641972015,601.5315834187406,0.09591237334660374
3.0,100.0,5.0,1.0,500-750,325-420,6271.678641972015,68.14934583345534,0.010866205002497869
4.0,0.1,5.0,1.0,500-750,325-420,6271.678641972015,349.7869955781706,0.055772467874436
4.0,0.5,5.0,1.0,500-750,325-420,6271.678641972015,1053.7830464571184,0.16802248753704888
4.0,1.0,5.0,1.0,500-750,325-420,6271.678641972015,1196.1791673449875,0.19072711400418163
4.0,5.0,5.0,1.0,500-750,325-420,6271.678641972015,2016.8564278652948,0.3215815960926102
4.0,10.0,5.0,1.0,500-750,325-420,6271.678641972015,1874.374880840207,0.29886334868886777
4.0,20.0,5.0,1.0,500-750,325-420,6271.678641972015,1340.4423632722749,0.21372943988258897
4.0,50.0,5.0,1.0,500-750,325-420,6271.678641972015,585.1921160242202,0.09330709518627651
4.0,100.0,5.0,1.0,500-750,325-420,6271.678641972015,75.022632059082,0.011962129493849913
5.0,0.1,5.0,1.0,500-750,325-420,6271.678641972015,201.75531999079843,0.03216926942662358
5.0,0.5,5.0,1.0,500-750,325-420,6271.678641972015,424.3455445813138,0.06766060074275204
5.0,1.0,5.0,1.0,500-750,325-420,6271.678641972015,723.9719640578503,0.11543511799421702
5.0,5.0,5.0,1.0,500-750,325-420,6271.678641972015,1463.4498690963637,0.23334261090842637
5.0,10.0,5.0,1.0,500-750,325-420,6271.678641972015,1071.1868066517395,0.17079746393302517
5.0,20.0,5.0,1.0,500-750,325-420,6271.678641972015,816.0094796690978,0.13011021869138986
5.0,50.0,5.0,1.0,500-750,325-420,6271.678641972015,329.87917340144105,0.05259822644511591
5.0,100.0,5.0,1.0,500-750,325-420,6271.678641972015,58.94711301776226,0.009398937092100022
